Test (2C): unreliable agreement ...
003291 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:-1
003293 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 0
003305 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
003382 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
003393 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
003404 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
003405 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
003405 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
003448 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:0,我的任期:0，lastterm:0,lastlogindex:0
003449 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:2
003489 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:0,我的任期:0，lastterm:0,lastlogindex:0
003490 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:2
003547 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:0，lastterm:0,lastlogindex:0
003548 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:2
003580 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:0,我的voteFor:-1
003580 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 0
003591 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
003603 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
003615 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
003627 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:0,我的任期:1，lastterm:0,lastlogindex:0
003627 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
003627 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
003627 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
003714 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:1,我的任期:1，lastterm:0,lastlogindex:0
003737 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:0,我的任期:1，lastterm:0,lastlogindex:0
003820 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:1，lastterm:0,lastlogindex:0
003887 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:1，lastterm:0,lastlogindex:0
006778 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:2
006779 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 1
